Date	Open	High	Low	Close	Volume
3/15/2017	25.15	26.15	24.94	26.12	29779900
3/16/2017	26.2	26.23	25.83	26.04	19147300
3/17/2017	25.86	25.91	25.4	25.8	19126500
3/20/2017	25.99	26.61	25.81	26.21	26918800
3/21/2017	26.3	26.44	25.43	25.52	28397500
3/22/2017	25.73	26.15	25.63	26.06	25092500
3/23/2017	26.36	26.49	26.04	26.47	47118300
3/24/2017	29.71	29.87	28.16	28.43	107481800
3/27/2017	28.1	29.18	28.07	28.76	48190000
3/28/2017	28.73	29.06	28.62	28.69	24776400
3/29/2017	28.6	28.68	28.35	28.5	23060600
3/30/2017	28.4	29	28.33	28.97	25092700
3/31/2017	29.1	29.36	28.9	28.9	32337800
4/3/2017	28.95	29.04	28.3	28.64	21629100
4/4/2017	28.47	28.68	28.16	28.59	13957900
4/5/2017	28.64	28.91	28.23	28.26	22389900
4/6/2017	28.25	28.78	28.02	28.62	19423700
4/7/2017	28.45	28.86	28.35	28.52	20325500
4/10/2017	28.45	28.49	27.58	27.64	27422100
4/11/2017	27.5	27.54	26.68	27.18	38619300
4/12/2017	27.42	27.43	26.66	26.69	24621900
4/13/2017	26.55	27.23	26.36	26.74	26077500
4/17/2017	26.91	27.22	26.83	27.13	14108600
4/18/2017	27	27.34	26.9	27.14	14407100
4/19/2017	27.45	27.55	27.05	27.26	21231900
4/20/2017	27.5	28.08	27.5	27.96	23633000
4/21/2017	28	28.03	27.16	27.32	28361700
4/24/2017	27.74	27.76	26.52	26.57	44041000
4/25/2017	26.71	27.02	26.37	26.99	22881400
4/26/2017	26.58	27.07	26.39	26.79	24670700
4/27/2017	27.17	27.65	27.1	27.63	24626900
4/28/2017	28.02	28.2	27.51	27.67	28105100
5/1/2017	27.85	28.38	27.72	28.29	23938000
5/2/2017	28.28	28.28	27.45	27.77	25335300
5/3/2017	27.55	28.1	27.55	28	15061300
5/4/2017	27.94	28.17	27.72	27.79	15544600
5/5/2017	27.8	28.22	27.62	28.2	15639600
5/8/2017	27.56	28.07	27.28	28.06	32326800
5/9/2017	28.11	28.9	28.06	28.81	31073400
5/10/2017	28.92	29.42	28.8	29.32	29267500
5/11/2017	29.17	29.31	28.69	29.03	22494600
5/12/2017	29.1	29.12	28.68	28.93	15902700
5/15/2017	29.08	29.19	28.73	28.83	21899900
5/16/2017	28.92	29.08	28.57	29.02	14940800
5/17/2017	28.34	28.51	26.96	27	38027900
5/18/2017	27.15	27.89	27.09	27.48	26863000
5/19/2017	27.78	28.16	27.73	27.82	19173200
5/22/2017	28.2	28.25	27.65	28.06	18032700
5/23/2017	28.08	28.31	27.56	28.29	21800800
5/24/2017	28.47	29.12	28.44	28.99	22216800
5/25/2017	29.2	29.66	29.19	29.43	20714000
5/26/2017	29.27	29.77	28.88	29.76	17784800
5/30/2017	29.94	30.87	29.88	30.7	34690000
5/31/2017	31.01	31.1	30.32	30.77	26402900
6/1/2017	30.75	30.83	30.28	30.76	20534800
6/2/2017	30.8	31.38	30.53	31.21	20206300
6/5/2017	31.3	31.76	31.07	31.21	24360800
6/6/2017	31.04	31.77	30.87	31.57	33125800
6/7/2017	31.7	32.55	31.7	32.5	32635800
6/8/2017	32.84	32.86	31.88	32.45	29156500
6/9/2017	32.67	32.93	29.55	30.6	53064200
6/12/2017	30.06	31.69	29.21	31.2	46550900
6/13/2017	31.75	32.24	30.77	31.54	33767900
6/14/2017	31.78	31.79	30.85	31.06	28935000
6/15/2017	30.47	30.97	30.08	30.56	33670600
6/16/2017	30.63	31	29.82	29.86	42881700
6/19/2017	30.51	31.25	30.33	31.2	24915000
6/20/2017	31.4	31.58	30.73	30.83	25793300
6/21/2017	31.18	32.15	31.06	32.01	30579000
6/22/2017	32.04	32.4	31.76	31.89	23050800
6/23/2017	31.89	32.08	31.64	31.73	45323800
6/26/2017	32.45	32.96	31.95	32.5	34750700
6/27/2017	32.51	32.67	31.61	31.66	33221500
6/28/2017	32.07	32.28	31.44	32.24	28415900
6/29/2017	32.29	32.39	30.64	31.47	53948400
6/30/2017	32.12	32.15	29.71	29.86	73308000
7/3/2017	30.09	30.28	28.56	29.14	36830400
7/5/2017	29.55	30.56	29.55	30.51	40444600
7/6/2017	29.94	30.48	29.92	30.1	27143800
7/7/2017	30.22	30.5	29.98	30.2	22023100
7/10/2017	30.16	30.59	29.75	30.5	24907900
7/11/2017	30.55	31.39	30.51	31.37	28530500
7/12/2017	31.77	31.78	31.16	31.45	22258600
7/13/2017	31.55	31.85	30.84	31.13	23773000
7/14/2017	31.35	31.95	31.26	31.79	28887600
7/17/2017	31.67	31.86	31.44	31.72	22320500
7/18/2017	31.64	31.91	31.4	31.9	14045000
7/19/2017	32.05	32.35	31.65	31.82	19984100
7/20/2017	31.93	32.02	31.42	32	23179300
7/21/2017	31.9	32.1	31.62	32.01	21146600
7/24/2017	32	32.01	31.5	31.67	17415500
7/25/2017	30.8	30.83	29.65	29.9	51216400
7/26/2017	29.85	30.05	29.68	29.81	26387400
7/27/2017	30.27	31.3	29.67	30.24	38967000
7/28/2017	29.96	29.98	28.96	29.28	31854900
7/31/2017	29.43	29.55	27.87	28.12	41112700
8/1/2017	28.22	28.94	27.83	28.34	28221600
8/2/2017	28.96	29.43	28.22	28.63	27226000
8/3/2017	28.39	28.4	27.61	27.83	30288400
8/4/2017	27.86	28.3	27.27	27.92	23947500
8/7/2017	27.93	28.61	27.8	28.59	16589300
8/8/2017	28.61	29.34	28.61	28.84	21903300
8/9/2017	28.51	28.89	28.36	28.58	14181800
8/10/2017	28.3	28.38	27.43	27.49	26147600
8/11/2017	27.44	28.04	26.85	28.01	23375900
8/14/2017	28.82	29.36	28.72	29.24	25254600
8/15/2017	29.5	29.81	29.14	29.68	23973600
8/16/2017	30.02	30.86	29.96	30.69	37879500
8/17/2017	30.32	30.53	29.61	29.62	26152500
8/18/2017	29.96	30.6	29.76	30.38	31178100
8/21/2017	30.53	30.6	29.28	29.56	26247700
8/22/2017	29.85	30.54	29.77	30.45	18821200
8/23/2017	29.97	30.74	29.87	30.45	21200400
8/24/2017	30.55	30.63	30.11	30.22	18056800
8/25/2017	30.3	30.39	30.05	30.29	13929800
8/28/2017	30.43	31.21	30.42	31.08	22531000
